Month,Year,Date,Project,Tide,Start,Ttime,Temp,Wind,Sky,Precip,Grid_250,Species,Common Name,Scientific Name,Bd_Type,Guild,Number,Habitat,Behavior,Obs,Notes
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,14,PEEP,Peep,Calidris spp.,Shorebird,SP,2,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,14,CANV,Canvasback,Aythya valisineria,Diving,DIV,15,SH,SW,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,14,AMAV,American Avocet,Recurvirostra americana,Shorebird,SP,2,SH,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,14,NSHO,Northern Shoveler,Anas clypeata,Dabbler,DAB,7,MF,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,14,MALL,Mallard,Anas platyrhynchos,Dabbler,DAB,1,MF,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,13,BBPL,Black-bellied Plover,Pluvialis squatarola,Shorebird,SP,2,MP,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,9,MAGO,Marbled Godwit,Limosa fedoa,Shorebird,DP,13,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,8,MAGO,Marbled Godwit,Limosa fedoa,Shorebird,DP,9,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,9,BBPL,Black-bellied Plover,Pluvialis squatarola,Shorebird,SP,4,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,9,MAGO,Marbled Godwit,Limosa fedoa,Shorebird,DP,5,MF,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,8,LBCU,Long-billed Curlew,Numenius americanus,Shorebird,DP,1,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,8,AMAV,American Avocet,Recurvirostra americana,Shorebird,SP,5,SH,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,8,MAGO,Marbled Godwit,Limosa fedoa,Shorebird,DP,3,SH,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,8,MAGO,Marbled Godwit,Limosa fedoa,Shorebird,DP,5,MF,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,8,MAGO,Marbled Godwit,Limosa fedoa,Shorebird,DP,16,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,9,LBCU,Long-billed Curlew,Numenius americanus,Shorebird,DP,1,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,9,AMAV,American Avocet,Recurvirostra americana,Shorebird,SP,1,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,9,NSHO,Northern Shoveler,Anas clypeata,Dabbler,DAB,9,SH,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,9,NSHO,Northern Shoveler,Anas clypeata,Dabbler,DAB,2,SH,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,9,GWTE,Green-winged Teal,Anas crecca,Dabbler,DAB,2,SH,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,15,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,LV,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,15,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,2,OP,CA,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,9,WILL,Willet,Catoptrophorus semipalmatus,Shorebird,SP,1,AE,FL,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,9,BBPL,Black-bellied Plover,Pluvialis squatarola,Shorebird,SP,10,MP,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,9,PEEP,Peep,Calidris spp.,Shorebird,SP,1,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,18,CANG,Canada Goose,Branta canadensis,Geese,OTHER,17,AE,FL,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,8,PEEP,Peep,Calidris spp.,Shorebird,SP,8,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,8,AMAV,American Avocet,Recurvirostra americana,Shorebird,SP,3,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,8,WILL,Willet,Catoptrophorus semipalmatus,Shorebird,SP,1,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,8,BBPL,Black-bellied Plover,Pluvialis squatarola,Shorebird,SP,1,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,3,MAGO,Marbled Godwit,Limosa fedoa,Shorebird,DP,3,MF,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,3,MAGO,Marbled Godwit,Limosa fedoa,Shorebird,DP,2,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,3,MAGO,Marbled Godwit,Limosa fedoa,Shorebird,DP,1,SH,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,3,WILL,Willet,Catoptrophorus semipalmatus,Shorebird,SP,2,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,7,AMAV,American Avocet,Recurvirostra americana,Shorebird,SP,1,SH,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,7,BBPL,Black-bellied Plover,Pluvialis squatarola,Shorebird,SP,1,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,3,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,2,MP,PR,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,3,ANHU,Anna's Hummingbird,Calypte anna,Passerine,OTHER,1,LV,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,3,LBCU,Long-billed Curlew,Numenius americanus,Shorebird,DP,1,AE,FL,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,1,CANG,Canada Goose,Branta canadensis,Geese,OTHER,2,AE,AL,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,1,LBCU,Long-billed Curlew,Numenius americanus,Shorebird,DP,1,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,6,BBPL,Black-bellied Plover,Pluvialis squatarola,Shorebird,SP,2,MF,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,6,MAGO,Marbled Godwit,Limosa fedoa,Shorebird,DP,3,MF,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,6,BBPL,Black-bellied Plover,Pluvialis squatarola,Shorebird,SP,1,MF,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,6,CANG,Canada Goose,Branta canadensis,Geese,OTHER,4,MF,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,8,GULL,Unknown Gull,Laridae spp,Gull/Tern,OP,5,AE,FL,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,1,NOHA,Northern Harrier,Circus cyaneus,Raptor,AP,1,AE,FL,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,7,AMAV,American Avocet,Recurvirostra americana,Shorebird,SP,7,SH,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,7,WILL,Willet,Catoptrophorus semipalmatus,Shorebird,SP,2,SH,FO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,2,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,2,LV,AG,,"CHASING EACHOTHER, MAYBE COURTSHIP BEHAVIOR?"
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,20,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,12,LV,UN,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,18,CORA,Common Raven,Corvus cryptoleucus,Passerine,OP,1,MP,FL,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,16,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,3,MP,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,8,CANG,Canada Goose,Branta canadensis,Geese,OTHER,1,MF,RO,,BROKEN WING
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,11,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,1,PO,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,6,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,LV,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,1,SPAR,Unknown Sparrow,NA,Passerine,GR,3,LV,RO,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,1,MAWR,Marsh Wren,Cistothorus palustris,Passerine,GR ,1,MP,CA,,
March,2005,03/04/05,GC,LOW,12:58,1.4,50,0,95,1,1,MAWR,Marsh Wren,Cistothorus palustris,Passerine,GR ,1,MP,CN,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,19,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,1,MP,UN,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,8,AMWI,American Wigeon,Anas americana,Dabbler,DAB,2,OW,SW,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,14,BARS,Barn Swallow,Hirundo rustica,Passerine,AF,13,AE,FL,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,9,AMWI,American Wigeon,Anas americana,Dabbler,DAB,7,SH,FO,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,9,WILL,Willet,Catoptrophorus semipalmatus,Shorebird,SP,17,SH,RO,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,9,MAGO,Marbled Godwit,Limosa fedoa,Shorebird,DP,12,SH,RO,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,2,SCAU,Scaup,Aythya spp.,Diving,DIV,5,OW,PR,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,2,GADW,Gadwall,Anas strepera,Dabbler,DAB,5,OW,SW,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,2,SCAU,Scaup,Aythya spp.,Diving,DIV,1,OW,SW,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,8,MALL,Mallard,Anas platyrhynchos,Dabbler,DAB,1,OW,SW,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,8,AMWI,American Wigeon,Anas americana,Dabbler,DAB,8,OW,SW,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,8,GREB,Unknown Grebe,Aechmophorus sp.,Grebe,DIV,1,OW,SW,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,15,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,2,OP,RO,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,9,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,MP,UN,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,10,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,2,OP,FL,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,10,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,2,MP,CA,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,4,COYE,Common Yellowthroat,Geothlypis trichas,Passerine,GR ,1,OP,RO,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,4,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,2,LV,CA,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,3,ANHU,Anna's Hummingbird,Calypte anna,Passerine,OTHER,1,LV,RO,,BIRD IS IN THE SAME COYOTE BUSH AS LAST MONTH
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,3,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,LV,CN,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,3,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,LV,RO,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,3,NOHA,Northern Harrier,Circus cyaneus,Raptor,AP,1,AE,FL,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,3,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,LV,AL,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,3,WILL,Willet,Catoptrophorus semipalmatus,Shorebird,SP,4,AE,FL,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,2,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,MP,AL,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,1,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,1,LV,CA,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,3,MAWR,Marsh Wren,Cistothorus palustris,Passerine,GR ,1,MP,CA,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,14,MALL,Mallard,Anas platyrhynchos,Dabbler,DAB,2,OW,SW,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,15,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,3,OP,CA,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,20,CANG,Canada Goose,Branta canadensis,Geese,OTHER,1,DEAD,DEAD,,"DEAD, HEAD AND NECK UNDER FENCE BY STAIRS GOING UP TO HWY, BODY INSIDE PROJECT"
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,18,LESA,Least Sandpiper,Calidris minutilla,Shorebird,SP,6,PO,FO,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,18,LESA,Least Sandpiper,Calidris minutilla,Shorebird,SP,7,PO,RO,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,18,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,1,MP,RO,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,16,PEEP,Peep,Calidris spp.,Shorebird,SP,500,AE,FL,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,17,SAVS,Savannah Sparrow,Passerculus sandwichensis,Passerine,GR ,1,LV,RO,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,12,SNEG,Snowy Egret,Egretta thula,Wader,WD,1,AE,FL,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,16,SPAR,Unknown Sparrow,NA,Passerine,GR,5,LV,UN,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,16,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,1,LV,AL,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,17,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,3,LV,RO,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,12,DCCO,Double-crested Cormorant,Phalacrocorax auritus,Cormorant,PIS,1,AE,FL,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,11,PEEP,Peep,Calidris spp.,Shorebird,SP,100,AE,FL,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,11,MALL,Mallard,Anas platyrhynchos,Dabbler,DAB,2,PO,RO,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,12,DCCO,Double-crested Cormorant,Phalacrocorax auritus,Cormorant,PIS,1,AE,CN,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,11,BARS,Barn Swallow,Hirundo rustica,Passerine,AF,1,AE,FL,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,1,SPAR,Unknown Sparrow,NA,Passerine,GR,12,MP,UN,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,1,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,MP,AL,,
April,2005,04/04/05,GC,HIGH,8:50,1.3,50,1,10,0,1,COYE,Common Yellowthroat,Geothlypis trichas,Passerine,GR ,2,OP,FL,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,20,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,1,PO,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,20,MALL,Mallard,Anas platyrhynchos,Dabbler,DAB,1,PO,PR,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,9,BBPL,Black-bellied Plover,Pluvialis squatarola,Shorebird,SP,7,MF,FO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,9,AMWI,American Wigeon,Anas americana,Dabbler,DAB,5,SH,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,10,SAVS,Savannah Sparrow,Passerculus sandwichensis,Passerine,GR ,1,LV,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,10,SPAR,Unknown Sparrow,NA,Passerine,GR,2,LV,FL,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,10,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,OP,CA,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,8,WILL,Willet,Catoptrophorus semipalmatus,Shorebird,SP,2,MF,FO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,3,MAGO,Marbled Godwit,Limosa fedoa,Shorebird,DP,1,SH,FO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,3,WILL,Willet,Catoptrophorus semipalmatus,Shorebird,SP,1,MF,FO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,3,BBPL,Black-bellied Plover,Pluvialis squatarola,Shorebird,SP,1,MF,FO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,3,ANHU,Anna's Hummingbird,Calypte anna,Passerine,OTHER,1,LV,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,3,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,MP,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,2,BBPL,Black-bellied Plover,Pluvialis squatarola,Shorebird,SP,2,MF,FO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,2,BARS,Barn Swallow,Hirundo rustica,Passerine,AF,1,AE,FL,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,1,MALL,Mallard,Anas platyrhynchos,Dabbler,DAB,1,SH,FO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,1,MALL,Mallard,Anas platyrhynchos,Dabbler,DAB,1,MF,PR,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,7,SCAU,Scaup,Aythya spp.,Diving,DIV,1,SH,SW,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,2,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,LV,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,18,LESA,Least Sandpiper,Calidris minutilla,Shorebird,SP,2,PO,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,14,DCCO,Double-crested Cormorant,Phalacrocorax auritus,Cormorant,PIS,1,AE,FL,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,19,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,3,LV,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,18,CANG,Canada Goose,Branta canadensis,Geese,OTHER,2,MP,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,17,BARS,Barn Swallow,Hirundo rustica,Passerine,AF,1,LV,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,17,SPAR,Unknown Sparrow,NA,Passerine,GR,3,MP,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,17,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,3,MP,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,17,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,1,MP,AL,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,12,CANG,Canada Goose,Branta canadensis,Geese,OTHER,4,MP,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,16,CANG,Canada Goose,Branta canadensis,Geese,OTHER,7,PO,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,16,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,1,PO,FO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,16,MALL,Mallard,Anas platyrhynchos,Dabbler,DAB,1,PO,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,16,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,10,MP,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,16,SPAR,Unknown Sparrow,NA,Passerine,GR,6,MP,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,11,SAVS,Savannah Sparrow,Passerculus sandwichensis,Passerine,GR ,1,LV,RO,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,11,TUVU,Turkey Vulture,Cathartes aura,Raptor,OP,1,AE,FL,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,11,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,LV,CA,,
April,2005,04/04/05,GC,LOW,15:02,1.1,65,1,20,0,6,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,1,MP,AL,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,13,CANG,Canada Goose,Branta canadensis,Geese,OTHER,2,MP,RO,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,14,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,2,MP,RO,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,9,PEEP,Peep,Calidris spp.,Shorebird,SP,182,AE,FL,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,15,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,1,OP,CA,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,15,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,1,LV,RO,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,9,MALL,Mallard,Anas platyrhynchos,Dabbler,DAB,1,SH,RO,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,9,MALL,Mallard,Anas platyrhynchos,Dabbler,DAB,2,AE,FL,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,10,SAVS,Savannah Sparrow,Passerculus sandwichensis,Passerine,GR ,1,LV,AL,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,10,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,OP,CA,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,10,SPAR,Unknown Sparrow,NA,Dabbler,GR,1,LV,RO,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,9,SAVS,Savannah Sparrow,Passerculus sandwichensis,Passerine,GR ,2,LV,RO,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,9,WILL,Willet,Catoptrophorus semipalmatus,Shorebird,SP,40,SH,RO,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,9,MAGO,Marbled Godwit,Limosa fedoa,Shorebird,DP,10,SH,RO,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,7,GADW,Gadwall,Anas strepera,Dabbler,DAB,1,OW,SW,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,9,BBPL,Black-bellied Plover,Pluvialis squatarola,Shorebird,SP,3,SH,RO,,"Black legs and bill. Wht eyebrow stripe, overall grey with white chest. Thick bill."
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,4,COYE,Common Yellowthroat,Geothlypis trichas,Passerine,GR ,1,OP,CA,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,3,ANHU,Anna's Hummingbird,Calypte anna,Passerine,OTHER,1,LV,RO,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,10,EUST,European Starling,Sturnus vulgaris,Passerine,GR ,2,MP,AL,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,3,MALL,Mallard,Anas platyrhynchos,Dabbler,DAB,2,SH,RO,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,3,WILL,Willet,Catoptrophorus semipalmatus,Shorebird,SP,2,AE,FL,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,9,NOHA,Northern Harrier,Circus cyaneus,Raptor,AP,1,AE,FL,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,7,CANG,Canada Goose,Branta canadensis,Geese,OTHER,2,CW,SW,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,2,AMAV,American Avocet,Recurvirostra americana,Shorebird,SP,1,AE,FL,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,2,SOSP,Song Sparrow,Melospiza melodia,Passerine,GR ,1,LV,CA,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,9,FOTE,Forster's Tern,Sterna forsteri,Gull/Tern,PIS,1,AE,FL,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,20,HAWK,Unknown Hawk,NA,Raptor,AP,1,LV,RO,,Either a Cooper's or Sharp-shinned Hawk. Flushed from Baccharis plant next to main gate.
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,18,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,2,MP,RO,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,18,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,1,PO,AL,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,13,SEPL,Semipalmated Plover,Charadrius semipalmatus,Shorebird,SP,15,MF,FO,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,13,PEEP,Peep,Calidris spp.,Shorebird,SP,6,MF,FO,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,13,RWBL,Red-winged Blackbird,Agelaius phoeniceus,Passerine,GR ,4,MP,RO,,
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,13,CANG,Canada Goose,Branta canadensis,Geese,OTHER,7,MP,FO,,7 Goslings with 2 adults!
May,2005,05/02/05,GC,HIGH,9:49,1.1,58,1,0,0,13,KILL,Killdeer,Charadrius vociferus,Shorebird,SP,1,PO,FO,,
